"","Bee.02.16S.R1.fastq","Bee.03.16S.R1.fastq","Bee.04.16S.R1.fastq","Bee.05.16S.R1.fastq","Bee.06.16S.R1.fastq","Bee.07.16S.R1.fastq","Bee.08.16S.R1.fastq","Bee.09.16S.R1.fastq","Bee.10.16S.R1.fastq","Bee.11.16S.R1.fastq","Bee.12.16S.R1.fastq","Bee.13.16S.R1.fastq","Bee.14.16S.R1.fastq","Bee.15.16S.R1.fastq","Bee.16.16S.R1.fastq","Bee.17.16S.R1.fastq","Bee.18.16S.R1.fastq","Bee.19.16S.R1.fastq","Bee.20.16S.R1.fastq","Bee.21.16S.R1.fastq","Bee.22.16S.R1.fastq","Bee.23.16S.R1.fastq","Bee.24.16S.R1.fastq","Bee.25.16S.R1.fastq","Bee.26.16S.R1.fastq","Bee.27.16S.R1.fastq","Bee.28.16S.R1.fastq","Bee.29.16S.R1.fastq","Bee.30.16S.R1.fastq","Bee.31.16S.R1.fastq","Bee.32.16S.R1.fastq","Bee.33.16S.R1.fastq","Bee.34.16S.R1.fastq","Bee.35.16S.R1.fastq","Bee.36.16S.R1.fastq","Bee.37.16S.R1.fastq","Bee.38.16S.R1.fastq","Bee.39.16S.R1.fastq","Bee.40.16S.R1.fastq","BeeNCE1.16S.R1.fastq","BeeNCE2.16S.R1.fastq"
"ASV_0088",0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,43,30,35,0,0,0,0,0,0,0,0,0,7,0,0,0,14,41,0,0,0
"ASV_0089",9,3,8,24,8,1,2,0,10,0,0,0,5,0,0,0,11,18,1,0,7,11,10,4,0,6,3,0,3,0,5,0,2,6,0,0,0,0,0,0,5
"ASV_0090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0
"ASV_0091",5,6,0,20,11,28,9,0,0,0,10,0,5,0,0,0,14,7,10,0,6,12,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,136,0,0
"ASV_0093",0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,5,6,35,18,12,10,4,0,0
"ASV_0095",0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,58,0,0,0
"ASV_0096",15,17,11,8,13,12,8,0,0,0,19,0,6,0,0,0,0,0,18,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0097",4,6,5,8,3,6,6,0,0,3,19,0,8,5,0,0,10,4,14,6,7,0,7,7,7,8,7,0,0,0,4,0,0,0,0,0,0,0,0,0,2
"ASV_0098",0,0,0,10,0,58,0,9,0,0,0,0,0,0,0,0,7,6,0,0,38,6,16,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"ASV_0099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,13,8,26,9,19,0,7,0,10,14,0,0,0,0,0,0,0
"ASV_0100",0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,8,0,97,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"ASV_0101",4,5,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
"ASV_0102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"ASV_0103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,55,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,0,0,0
"ASV_0104",0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,30,0,6,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0
"ASV_0105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,10,9,28,8,22,8,0,0,16
"ASV_0106",11,0,19,5,9,14,9,0,0,0,9,0,0,0,0,0,0,0,13,9,0,0,12,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0
"ASV_0108",0,14,20,11,21,9,17,0,0,3,0,0,0,4,4,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"ASV_0109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0110",0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,97,0,0,0,0,0,0,9,0,0
"ASV_0111",21,15,15,0,25,0,0,0,0,0,0,0,0,7,0,0,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0112",125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0113",28,0,34,8,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0114",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,9,0,0,0,0,0
"ASV_0115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0
"ASV_0116",11,3,10,1,0,1,2,0,0,8,0,0,0,0,0,0,4,0,0,1,1,8,1,6,0,0,8,7,8,0,0,11,9,6,0,0,0,0,4,3,6
"ASV_0117",1,2,15,1,0,0,0,0,10,6,0,3,1,0,0,0,2,1,0,0,1,4,0,38,0,1,0,0,0,1,2,0,13,0,9,4,0,1,0,0,0
"ASV_0118",8,0,0,13,0,0,10,0,0,7,15,0,9,4,0,0,0,8,0,0,11,16,0,4,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ASV_0119",0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,25,26,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0
"ASV_0122",0,5,1,2,2,1,11,0,3,7,5,9,5,0,0,2,0,0,0,1,12,3,0,1,1,0,2,1,0,1,2,9,5,1,6,3,0,2,1,0,1
"ASV_0123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_0124",0,24,2,3,21,44,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
